id,fussout,exclude,exclude_reason,exclude_trials?,seat
8001,0,0,,No,recliner
8002,0,0,,No,highchair
8003,0,0,,No,highchair
8004,0,0,,No,highchair
8005,0,0,,No,recliner
8006,0,0,,No,highchair
8007,0,0,,No,highchair
8008,0,0,,Yes,highchair
8009,0,0,,No,highchair
8010,0,0,,No,recliner
8011,0,0,,No,recliner
8012,0,0,,No,highchair
8013,0,0,,No,highchair
8014,0,0,,Yes,highchair
8015,0,1,missing front camera video,No,
8016,1,0,,Yes,
8017,0,0,,Yes,highchair
8018,0,0,,No,highchair
8019,0,0,,Yes,highchair
8020,0,0,,No,recliner
8021,0,0,,No,recliner
8022,0,0,,No,highchair
8023,0,0,,Yes,highchair
8024,0,0,,No,highchair
8025,0,0,,No,recliner
8026,0,0,,No,highchair
8027,0,0,,Yes,highchair
8028,0,0,,No,lap
8029,0,0,,No,highchair
8030,0,0,,No,lap
8031,0,0,,No,recliner
8032,0,0,,No,recliner
8033,0,0,,No,recliner
8034,0,0,,No,recliner
8035,0,0,,No,recliner
8036,1,0,,Yes,
8037,0,0,,No,recliner
8038,0,1,missing part of front camera video,No,
8039,1,0,,Yes,
8040,0,0,,No,highchair
8041,0,0,,No,recliner
8042,0,0,,No,recliner
8043,0,0,,No,lap
8044,0,0,,Yes,highchair
8045,0,0,,No,recliner
8046,0,0,,No,recliner
8047,0,0,,No,recliner
8048,0,0,,Yes,recliner
8049,1,1,missing part of front camera video,Yes,
8050,0,0,,No,recliner
8051,0,0,,No,lap
8052,0,0,,No,recliner
8053,0,0,,No,recliner
8054,0,0,,No,recliner
8055,0,0,,Yes,lap
8056,1,1,missing e4 marker,Yes,
8057,0,0,,No,highchair
8058,0,0,,No,recliner
8059,0,0,,No,recliner
8060,0,0,,No,lap
8061,0,0,,No,recliner
8062,0,0,,No,recliner
8063,0,0,,No,recliner
8064,1,0,,Yes,
8065,0,0,,No,lap
8066,0,0,,No,recliner
8067,0,0,,No,highchair
8068,0,0,,No,recliner
8069,0,0,,No,lap
8070,0,0,,No,recliner
8071,0,0,,No,highchair
8072,0,0,,No,lap
8073,0,0,,No,highchair
8074,0,0,,No,recliner
8075,0,0,,No,recliner
8076,0,0,,No,highchair
8077,0,0,,No,recliner
8078,0,0,,No,recliner
8079,0,0,,No,recliner
8080,1,1,missing e4 marker,Yes,
8081,0,0,,No,recliner
8082,0,0,,No,recliner
8083,0,0,,Yes,highchair
8084,0,0,,No,lap
8085,0,0,,Yes,highchair
8086,0,0,,No,recliner
8087,0,0,,No,recliner
8088,0,0,,No,highchair
8089,0,0,,No,recliner
8090,0,0,,No,highchair
8091,0,1,never looked at stim,No,
8092,0,0,,Yes,recliner
8093,0,0,,No,highchair
8094,0,0,,Yes,lap
8095,0,0,,No,recliner
8096,0,0,,No,highchair
8097,0,0,,No,recliner
8098,0,0,,No,recliner
8099,0,0,,No,lap
8100,0,1,very poor BVP signal,No,
8101,0,1,no E4 sync marker,No,
8102,0,0,,No,highchair
8103,0,0,,No,highchair
8104,0,0,,No,lap
8105,0,0,,No,recliner
8106,1,0,,Yes,
8107,1,0,,Yes,
8108,0,0,,No,recliner
8109,0,0,,No,highchair
8110,1,0,,Yes,
8111,0,0,,No,highchair
8112,0,0,,No,lap
8113,0,0,,No,lap
8114,0,0,,No,recliner
8115,0,0,,No,highchair
8116,0,0,,No,lap
8117,0,0,,No,highchair
8118,0,0,,No,recliner
8119,0,0,,No,highchair
8120,0,0,,No,highchair
8121,0,0,,No,highchair
8122,0,0,,No,highchair
8123,0,0,,No,highchair
8124,0,0,,No,lap
8125,0,0,,No,highchair
8126,0,0,,No,highchair
8127,0,0,,No,highchair
8128,0,0,,Yes,highchair
8129,0,0,,No,highchair
8130,0,0,,No,lap
8131,0,0,,No,highchair
8132,0,0,,Yes,highchair
8133,1,0,,Yes,
8134,0,0,,No,lap
8135,0,0,,No,lap
8136,0,0,,Yes,lap
8137,0,0,,No,recliner
8138,0,0,,No,lap
8139,0,1,bad HR,No,
8140,0,0,,No,highchair
8141,0,0,,No,recliner
8142,0,1,bad HR,No,
8143,0,0,,No,highchair
8144,0,0,,No,highchair
8145,0,0,,No,lap
8146,0,0,,Yes,recliner
8147,0,1,wrong condition run,No,
8148,0,0,,No,highchair
8149,0,0,,No,highchair
8150,0,0,,No,highchair
8151,0,0,,No,highchair
8152,0,0,,No,highchair
8153,0,0,,No,highchair
8154,0,0,,No,lap
8155,0,0,,Yes,highchair
8156,0,0,,No,highchair
8157,0,0,,No,recliner
8158,0,0,,No,recliner
8159,0,0,,No,lap
8160,0,0,,Yes,highchair
8161,0,1,bad HR,Yes,
8162,0,0,,No,recliner
8163,0,1,bad HR,No,
8164,0,0,,No,recliner
8165,0,0,,No,recliner